	1016-Treubia_lacunosa	1017-Porella_caespitans_var_nipponica	1025-Porella_chinensis	1026-Bazzania_tridens	225-Ptilidium_ciliare	231-Lunularia_cruciata	302-Haplomitrium_mnioides	343-Odontoschisma_sphagni	349-Blasia_pusilla	359-Scapania_nepalensis	368-Metzgeria_furcata	369-Plagiochila_semidecurrens	604-Gackstroemia_magellanica	620-Vetaforma_dusenii	621-Plagiochila_sp	623-Mesoptychia_sp	625-Noteroclada_confluens	626-Acrobolbus_urvilleanus	630-Porella_platyphylla	653-Riccia_cavernosa	664-Conocephalum_conicum	888-Acrolejeunea_sandvicensis	889-Fossombronia_cristula	890-Blasia_pusilla	891-Pleurozia_purpurea	905-Metzgeria_hamata	906-Herbertus_kurzii	908-Cyathodium_cavernarum	909-Ricciocarpos_natans	912-Pallavicinia_ambigua	952-Plagiochasma_appendiculatum	955-Jungermannia_erectum	957-Frullania_moniliata	961-Lepidozia_reptans	963-Plicanthus_hirtellus	965-Tetralophozia_filiformis	966-Tritomaria_exsectiformis	M158-Sphaerocarpos_donnellii	MAPA-Marchantia_paleacea	MpMON-Marchantia_polymorpha_montivagans	MpPOL-Marchantia_polymorpha_polymorpha	MpTAKv6-Marchantia_polymorpha_rudelaris
Number of genes	17280	13124	26967	17544	13382	12507	16492	14261	11235	29209	18437	21463	14794	20017	14818	21641	33453	26457	14698	25463	10745	14367	28125	11537	41896	19811	28784	17925	14639	18579	13167	21758	14891	13419	19091	14694	19566	18527	18498	18806	17374	22674
Number of genes in orthogroups	14197	11377	24497	14470	11518	10526	14528	12528	9019	27679	16710	19450	12257	17173	13269	18484	29592	23125	13241	22272	8017	10753	25027	9709	37512	18091	25739	13441	11948	15423	11407	19178	11593	11969	16904	13839	18327	16985	14144	16957	16209	20520
Number of unassigned genes	3083	1747	2470	3074	1864	1981	1964	1733	2216	1530	1727	2013	2537	2844	1549	3157	3861	3332	1457	3191	2728	3614	3098	1828	4384	1720	3045	4484	2691	3156	1760	2580	3298	1450	2187	855	1239	1542	4354	1849	1165	2154
Percentage of genes in orthogroups	82.2	86.7	90.8	82.5	86.1	84.2	88.1	87.8	80.3	94.8	90.6	90.6	82.9	85.8	89.5	85.4	88.5	87.4	90.1	87.5	74.6	74.8	89.0	84.2	89.5	91.3	89.4	75.0	81.6	83.0	86.6	88.1	77.9	89.2	88.5	94.2	93.7	91.7	76.5	90.2	93.3	90.5
Percentage of unassigned genes	17.8	13.3	9.2	17.5	13.9	15.8	11.9	12.2	19.7	5.2	9.4	9.4	17.1	14.2	10.5	14.6	11.5	12.6	9.9	12.5	25.4	25.2	11.0	15.8	10.5	8.7	10.6	25.0	18.4	17.0	13.4	11.9	22.1	10.8	11.5	5.8	6.3	8.3	23.5	9.8	6.7	9.5
Number of orthogroups containing species	6383	7365	10291	8692	7469	6792	6430	7808	7642	10878	9314	8458	8291	9161	7851	10172	10810	10487	8059	10147	6469	6950	8757	7681	10118	8462	10515	7231	7664	7827	7118	7025	7625	7994	9904	9117	9204	7870	10042	12802	12123	12420
Percentage of orthogroups containing species	9.7	11.1	15.6	13.1	11.3	10.3	9.7	11.8	11.6	16.4	14.1	12.8	12.5	13.9	11.9	15.4	16.3	15.9	12.2	15.3	9.8	10.5	13.2	11.6	15.3	12.8	15.9	10.9	11.6	11.8	10.8	10.6	11.5	12.1	15.0	13.8	13.9	11.9	15.2	19.4	18.3	18.8
Number of species-specific orthogroups	842	575	1702	460	593	270	897	332	63	1236	839	896	380	703	433	881	1770	1131	393	1533	80	485	1330	93	2685	729	1605	922	770	874	339	651	411	344	485	220	796	1055	230	131	87	195
Number of genes in species-specific orthogroups	6097	1945	8226	2028	2281	1608	5595	1564	167	7140	3154	6386	1228	3064	1944	3567	12509	6759	1478	5924	241	1618	10860	363	22012	4656	7059	4800	2551	3984	1893	7851	1348	1031	2084	605	3432	6827	849	395	292	627
Percentage of genes in species-specific orthogroups	35.3	14.8	30.5	11.6	17.0	12.9	33.9	11.0	1.5	24.4	17.1	29.8	8.3	15.3	13.1	16.5	37.4	25.5	10.1	23.3	2.2	11.3	38.6	3.1	52.5	23.5	24.5	26.8	17.4	21.4	14.4	36.1	9.1	7.7	10.9	4.1	17.5	36.8	4.6	2.1	1.7	2.8
