Species	OrthofinderID	Salinity	Heavymetals	Self-compatible
Alinifolium	Alinifolium_472_v1.1.protein_primaryTranscriptOnly	0	0	1
Alyrata	Alyrata_384_v2.1.protein_primaryTranscriptOnly	0	0	1.5
Athaliana	Athaliana_447_Araport11.protein_primaryTranscriptOnly	0	0	1
Boleraceacapitata	Boleraceacapitata_446_v1.0.protein_primaryTranscriptOnly	0	0	0
BrapaFPsc	BrapaFPsc_277_v1.3.protein_primaryTranscriptOnly	0	0	1
Bstricta	Bstricta_278_v1.2.protein_primaryTranscriptOnly	0	0	0
Camplexicaulis	Camplexicaulis_470_v1.1.protein_primaryTranscriptOnly	0	0	0
Cgrandiflora	Cgrandiflora_266_v1.1.protein_primaryTranscriptOnly	0	0	0
Chispanica	Chispanica_488_v1.1.protein_primaryTranscriptOnly	0	0	0
Cmaritima	Cmaritima_481_v1.1.protein_primaryTranscriptOnly	1	1	0
Crubella	Crubella_474_v1.1.protein_primaryTranscriptOnly	0	0	1
Cviolacea	Cviolacea_585_v2.1.protein_primaryTranscriptOnly	0	0	0
Dsophioides	Dsophioides_482_v1.1.protein_primaryTranscriptOnly	0	0	0
Dstrictus	Dstrictus_582_v2.1.protein_primaryTranscriptOnly	0	0	0
Esalsugineum	Esalsugineum_173_v1.0.protein_primaryTranscriptOnly	1	0	1.5
Esyriacum	Esyriacum_483_v1.1.protein_primaryTranscriptOnly	0	0	0
Evesicaria	Evesicaria_487_v1.1.protein_primaryTranscriptOnly	0	0	0
Iamara	Iamara_485_v1.1.protein_primaryTranscriptOnly	0	0	0
Itinctoria	Itinctoria_475_v1.1.protein_primaryTranscriptOnly	0	0	0
Lannua	Lannua_476_v1.1.protein_primaryTranscriptOnly	0	0	1
Lsativum	Lsativum_478_v1.1.protein_primaryTranscriptOnly	0	0	1
Mmaritima	Mmaritima_477_v1.1.protein_primaryTranscriptOnly	0	1	0
Mperfoliatum	Mperfoliatum_583_v2.1.protein_primaryTranscriptOnly	0	0	0
Rislandica	Rislandica_473_v1.1.protein_primaryTranscriptOnly	0	0	0
Salba	Salba_584_v3.1.protein_primaryTranscriptOnly	0	0	0
Sparvula	Sparvula_574_v2.2.protein_primaryTranscriptOnly	1	0	0
Spinnata	Spinnata_486_v1.1.protein_primaryTranscriptOnly	0	0	0
Tarvense	Tarvense_479_v1.1.protein_primaryTranscriptOnly	0	0	0
