Number of species	42
Number of genes	802115
Number of genes in orthogroups	693374
Number of unassigned genes	108741
Percentage of genes in orthogroups	86.4
Percentage of unassigned genes	13.6
Number of orthogroups	78930
Number of species-specific orthogroups	38408
Number of genes in species-specific orthogroups	180756
Percentage of genes in species-specific orthogroups	22.5
Mean orthogroup size	8.8
Median orthogroup size	3.0
G50 (assigned genes)	25
G50 (all genes)	20
O50 (assigned genes)	8360
O50 (all genes)	10768
Number of orthogroups with all species present	32
Number of single-copy orthogroups	0
Date	2023-10-07
Orthogroups file	Orthogroups.tsv
Unassigned genes file	Orthogroups_UnassignedGenes.tsv
Per-species statistics	Statistics_PerSpecies.tsv
Overall statistics	Statistics_Overall.tsv
Orthogroups shared between species	Orthogroups_SpeciesOverlaps.tsv

Average number of genes per-species in orthogroup	Number of orthogroups	Percentage of orthogroups	Number of genes	Percentage of genes
<1	76507	96.9	535078	77.2
'1	2044	2.6	108333	15.6
'2	233	0.3	23327	3.4
'3	84	0.1	12081	1.7
'4	34	0.0	6334	0.9
'5	15	0.0	3404	0.5
'6	3	0.0	834	0.1
'7	2	0.0	634	0.1
'8	4	0.0	1464	0.2
'9	0	0.0	0	0.0
'10	2	0.0	888	0.1
11-15	2	0.0	997	0.1
16-20	0	0.0	0	0.0
21-50	0	0.0	0	0.0
51-100	0	0.0	0	0.0
101-150	0	0.0	0	0.0
151-200	0	0.0	0	0.0
201-500	0	0.0	0	0.0
501-1000	0	0.0	0	0.0
'1001+	0	0.0	0	0.0

Number of species in orthogroup	Number of orthogroups
1	38408
2	17466
3	5548
4	2480
5	1398
6	866
7	720
8	567
9	491
10	464
11	364
12	304
13	291
14	242
15	235
16	248
17	252
18	269
19	322
20	412
21	456
22	548
23	658
24	695
25	710
26	641
27	602
28	496
29	415
30	353
31	302
32	254
33	224
34	201
35	183
36	159
37	170
38	147
39	138
40	109
41	90
42	32
