	1016-Treubia_lacunosa	1017-Porella_caespitans_var_nipponica	1025-Porella_chinensis	1026-Bazzania_tridens	225-Ptilidium_ciliare	231-Lunularia_cruciata	302-Haplomitrium_mnioides	343-Odontoschisma_sphagni	349-Blasia_pusilla	359-Scapania_nepalensis	368-Metzgeria_furcata	369-Plagiochila_semidecurrens	604-Gackstroemia_magellanica	620-Vetaforma_dusenii	621-Plagiochila_sp	623-Mesoptychia_sp	625-Noteroclada_confluens	626-Acrobolbus_urvilleanus	630-Porella_platyphylla	653-Riccia_cavernosa	664-Conocephalum_conicum	888-Acrolejeunea_sandvicensis	889-Fossombronia_cristula	890-Blasia_pusilla	891-Pleurozia_purpurea	905-Metzgeria_hamata	906-Herbertus_kurzii	908-Cyathodium_cavernarum	909-Ricciocarpos_natans	912-Pallavicinia_ambigua	952-Plagiochasma_appendiculatum	955-Jungermannia_erectum	957-Frullania_moniliata	961-Lepidozia_reptans	963-Plicanthus_hirtellus	965-Tetralophozia_filiformis	966-Tritomaria_exsectiformis	M158-Sphaerocarpos_donnellii	MAPA-Marchantia_paleacea	MpMON-Marchantia_polymorpha_montivagans	MpPOL-Marchantia_polymorpha_polymorpha	MpTAKv6-Marchantia_polymorpha_rudelaris
Number of genes	17280	13124	26967	17544	13382	12507	16492	14261	11235	29209	18437	21463	14794	20017	14818	21641	33453	26457	14698	25463	10745	14367	28125	11537	41896	19811	28784	17925	14639	18579	13167	21758	14891	13419	19091	14694	19566	18527	18498	18806	17374	22674
Number of genes in orthogroups	14194	11373	24476	14467	11518	10526	14517	12524	9019	27671	16706	19446	12257	17172	13265	18484	29585	23126	13235	22269	8017	10749	25014	9706	37494	18083	25734	13433	11947	15418	11403	19173	11592	11966	16897	13838	18315	16981	14144	16957	16208	20520
Number of unassigned genes	3086	1751	2491	3077	1864	1981	1975	1737	2216	1538	1731	2017	2537	2845	1553	3157	3868	3331	1463	3194	2728	3618	3111	1831	4402	1728	3050	4492	2692	3161	1764	2585	3299	1453	2194	856	1251	1546	4354	1849	1166	2154
Percentage of genes in orthogroups	82.1	86.7	90.8	82.5	86.1	84.2	88.0	87.8	80.3	94.7	90.6	90.6	82.9	85.8	89.5	85.4	88.4	87.4	90.0	87.5	74.6	74.8	88.9	84.1	89.5	91.3	89.4	74.9	81.6	83.0	86.6	88.1	77.8	89.2	88.5	94.2	93.6	91.7	76.5	90.2	93.3	90.5
Percentage of unassigned genes	17.9	13.3	9.2	17.5	13.9	15.8	12.0	12.2	19.7	5.3	9.4	9.4	17.1	14.2	10.5	14.6	11.6	12.6	10.0	12.5	25.4	25.2	11.1	15.9	10.5	8.7	10.6	25.1	18.4	17.0	13.4	11.9	22.2	10.8	11.5	5.8	6.4	8.3	23.5	9.8	6.7	9.5
Number of orthogroups containing species	6395	7388	10356	8719	7488	6807	6450	7828	7650	10949	9352	8502	8306	9186	7878	10206	10873	10520	8094	10187	6481	6971	8820	7694	10187	8507	10565	7252	7678	7846	7142	7062	7639	8021	9938	9138	9258	7890	10064	12828	12152	12448
Percentage of orthogroups containing species	9.6	11.1	15.5	13.0	11.2	10.2	9.6	11.7	11.4	16.4	14.0	12.7	12.4	13.7	11.8	15.3	16.3	15.7	12.1	15.2	9.7	10.4	13.2	11.5	15.2	12.7	15.8	10.8	11.5	11.7	10.7	10.6	11.4	12.0	14.9	13.7	13.9	11.8	15.1	19.2	18.2	18.6
Number of species-specific orthogroups	849	576	1723	461	599	274	911	337	65	1253	843	917	382	707	443	888	1790	1139	395	1561	80	490	1362	96	2738	744	1619	932	773	880	347	667	415	346	491	223	809	1067	232	135	90	195
Number of genes in species-specific orthogroups	6112	1940	8295	2016	2289	1612	5599	1581	173	7185	3171	6436	1232	3054	1968	3583	12572	6762	1481	5950	241	1635	10907	378	22036	4673	7087	4807	2557	3980	1915	7929	1356	1023	2091	612	3465	6843	859	411	302	627
Percentage of genes in species-specific orthogroups	35.4	14.8	30.8	11.5	17.1	12.9	33.9	11.1	1.5	24.6	17.2	30.0	8.3	15.3	13.3	16.6	37.6	25.6	10.1	23.4	2.2	11.4	38.8	3.3	52.6	23.6	24.6	26.8	17.5	21.4	14.5	36.4	9.1	7.6	11.0	4.2	17.7	36.9	4.6	2.2	1.7	2.8
