	1016-Treubia_lacunosa	1017-Porella_caespitans_var_nipponica	1025-Porella_chinensis	1026-Bazzania_tridens	225-Ptilidium_ciliare	231-Lunularia_cruciata	302-Haplomitrium_mnioides	343-Odontoschisma_sphagni	349-Blasia_pusilla	359-Scapania_nepalensis	368-Metzgeria_furcata	369-Plagiochila_semidecurrens	604-Gackstroemia_magellanica	620-Vetaforma_dusenii	621-Plagiochila_sp	623-Mesoptychia_sp	625-Noteroclada_confluens	626-Acrobolbus_urvilleanus	630-Porella_platyphylla	653-Riccia_cavernosa	664-Conocephalum_conicum	888-Acrolejeunea_sandvicensis	889-Fossombronia_cristula	890-Blasia_pusilla	891-Pleurozia_purpurea	905-Metzgeria_hamata	906-Herbertus_kurzii	908-Cyathodium_cavernarum	909-Ricciocarpos_natans	912-Pallavicinia_ambigua	952-Plagiochasma_appendiculatum	955-Jungermannia_erectum	957-Frullania_moniliata	961-Lepidozia_reptans	963-Plicanthus_hirtellus	965-Tetralophozia_filiformis	966-Tritomaria_exsectiformis	M158-Sphaerocarpos_donnellii	MAPA-Marchantia_paleacea	MpMON-Marchantia_polymorpha_montivagans	MpPOL-Marchantia_polymorpha_polymorpha	MpTAKv6-Marchantia_polymorpha_rudelaris
Number of genes	17280	13124	26967	17544	13382	12507	16492	14261	11235	29209	18437	21463	14794	20017	14818	21641	33453	26457	14698	25463	10745	14367	28125	11537	41896	19811	28784	17925	14639	18579	13167	21758	14891	13419	19091	14694	19566	18527	18498	18806	17374	22674
Number of genes in orthogroups	14172	11347	24410	14440	11503	10514	14481	12505	9014	27595	16674	19401	12248	17148	13249	18472	29554	23088	13193	22236	8017	10736	24969	9697	37356	18044	25699	13404	11939	15383	11385	19146	11584	11953	16854	13807	18276	16962	14141	16954	16205	20517
Number of unassigned genes	3108	1777	2557	3104	1879	1993	2011	1756	2221	1614	1763	2062	2546	2869	1569	3169	3899	3369	1505	3227	2728	3631	3156	1840	4540	1767	3085	4521	2700	3196	1782	2612	3307	1466	2237	887	1290	1565	4357	1852	1169	2157
Percentage of genes in orthogroups	82.0	86.5	90.5	82.3	86.0	84.1	87.8	87.7	80.2	94.5	90.4	90.4	82.8	85.7	89.4	85.4	88.3	87.3	89.8	87.3	74.6	74.7	88.8	84.1	89.2	91.1	89.3	74.8	81.6	82.8	86.5	88.0	77.8	89.1	88.3	94.0	93.4	91.6	76.4	90.2	93.3	90.5
Percentage of unassigned genes	18.0	13.5	9.5	17.7	14.0	15.9	12.2	12.3	19.8	5.5	9.6	9.6	17.2	14.3	10.6	14.6	11.7	12.7	10.2	12.7	25.4	25.3	11.2	15.9	10.8	8.9	10.7	25.2	18.4	17.2	13.5	12.0	22.2	10.9	11.7	6.0	6.6	8.4	23.6	9.8	6.7	9.5
Number of orthogroups containing species	6475	7482	10603	8844	7547	6883	6534	7921	7693	11278	9505	8707	8365	9312	7999	10330	11107	10692	8230	10337	6526	7057	9073	7740	10533	8683	10818	7347	7732	7952	7228	7199	7696	8128	10086	9271	9485	7987	10160	12957	12289	12574
Percentage of orthogroups containing species	9.2	10.7	15.1	12.6	10.8	9.8	9.3	11.3	11.0	16.1	13.6	12.4	11.9	13.3	11.4	14.7	15.8	15.2	11.7	14.7	9.3	10.1	12.9	11.0	15.0	12.4	15.4	10.5	11.0	11.3	10.3	10.3	11.0	11.6	14.4	13.2	13.5	11.4	14.5	18.5	17.5	17.9
Number of species-specific orthogroups	901	605	1835	493	623	301	954	352	69	1364	896	982	395	731	473	917	1906	1202	440	1641	85	508	1488	111	2971	825	1716	991	792	919	373	751	422	361	514	231	872	1112	241	142	97	198
Number of genes in species-specific orthogroups	6213	1972	8526	2089	2352	1713	5645	1656	179	7451	3268	6403	1264	3110	2016	3679	12702	6909	1667	6074	253	1673	11209	441	22378	4955	7287	4849	2615	4088	1993	8148	1365	1050	2131	626	3598	6923	896	430	323	612
Percentage of genes in species-specific orthogroups	36.0	15.0	31.6	11.9	17.6	13.7	34.2	11.6	1.6	25.5	17.7	29.8	8.5	15.5	13.6	17.0	38.0	26.1	11.3	23.9	2.4	11.6	39.9	3.8	53.4	25.0	25.3	27.1	17.9	22.0	15.1	37.4	9.2	7.8	11.2	4.3	18.4	37.4	4.8	2.3	1.9	2.7
